date,time,localCurrentTemperature,localCurrentApparentTemperature,LocalForecastedTemperature_3,LocalForecastedApparentTemperature_3,LocalForecastedTemperature_6,LocalForecastedApparentTemperature_6,localCurrentHumidity,LocalForecastedHumidity_3,LocalForecastedHumidity_6,LocalCurrent_Cloudiness,LocalForecastedCloudiness_3,LocalForecastedCloudiness_6,localCurrentUVIndex,LocalCurrent_Rain,LocalForecastedRain_3,LocalForecastedRain_6,LocalCurrent_Snow,LocalForecastedSnow_3,LocalForecastedSnow_6,SensorTemperature,SensorRelativeHumidity,SensorUltraviolet,SensorLuminance,MotionAlarm,TamperAlarm,WallPlugSwitch1_Switch_1,WallPlugSwitch1_SensorPower_1,Multisensor_outside_SensorTemperature,Multisensor_outside_SensorRelativeHumidity,Multisensor_outside_SensorUltraviolet,Multisensor_outside_SensorLuminance,Multisensor_outside_TamperAlarm,Multisensor_outside_MotionAlarm,sensor1_temperature,sensor2_temperature,sensor3_temperature,sensor4_temperature,sensor5_temperature,sensor1_humidity,sensor2_humidity,sensor3_humidity,sensor4_humidity,sensor5_humidity,Enocean_Temperature_1,Enocean_Humidity_1,Brightness_sensor_temperature_1,Brightness_Sensor_Temperature_2,Brightness_Sensor_Ambient_Brightness_1,Brightness_Sensor_Ambient_Brightness_2,Brightness_Sensor_Motion_detection_1,Brightness_Sensor_Motion_detection_2,Brightness_Sensor_Battery_1,Brightness_Sensor_Battery_2,Socket_Energy_1,Socket_Energy_2,Socket_Power_1,Socket_Power_2,Socket_Switch_1,Socket_Switch_2,Socket_Energy_3,Socket_Energy_4,Socket_Power_3,Socket_Power_4,Socket_Switch_3,Socket_Switch_4,Luminance_Sensor_Luminance_1,Luminance_Sensor_Luminance_2,Luminance_Sensor_Battery_1,Luminance_Sensor_Battery_2,Rain_Sensor_Precipitation_1,Rain_Sensor_Water_Meter_1,Rain_Sensor_Battery_1,AIR_Quality_Sensor_CO2_2,AIR_Quality_Sensor_Dew_point_2,AIR_Quality_Sensor_Humidity_2,AIR_Quality_Sensor_Temperature_2,AIR_Quality_Sensor_VOC_2,AirQualitySensor_SensorTemperature,AirQualitySensor_SensorRelativeHumidity,AirQualitySensor_SensorVOLATILE_ORGANIC_COMPOUND,AirQualitySensor_SensorDewPoint,AirQualitySensor_SensorCO2,Weather_Station_Air_Pressure_1,Weather_Station_Dew_Point_1,Weather_Station_Electricity_meter_1,Weather_Station_Heat_meter_1,Weather_Station_Humidity_1,Weather_Station_Luminance_1,Weather_Station_Temperature_1,Weather_Station_Wind_Speed_1,Rain_Sensor_Precipitation_2,Rain_Sensor_Water_Meter_2,Rain_Sensor_Battery_2,Temperature_25,Temperature_26,Temperature_27,Weather_Station_Air_Pressure_2,Weather_Station_Dew_Point_2,Weather_Station_Electricity_meter_2,Weather_Station_Heat_meter_2,Weather_Station_Humidity_2,Weather_Station_Luminance_2,Weather_Station_Temperature_2,Weather_Station_Wind_Speed_2,wind_sensor_power,wind_sensor_energy,Window_opening_power,Window_opening_energy,Slats_angle_power,Slats_angle_energy,Window_blinds_power,Window_blinds_energy,Weather_Station_Air_Pressure_3,Weather_Station_Dew_Point_3,Weather_Station_Electricity_meter_3,Weather_Station_Heat_meter_3,Weather_Station_Humidity_3,Weather_Station_Luminance_3,Weather_Station_Temperature_3,Weather_Station_Wind_Speed_3,AIR_Quality_Sensor_CO2_3,AIR_Quality_Sensor_Dew_point_3,AIR_Quality_Sensor_Humidity_3,AIR_Quality_Sensor_Temperature_3,AIR_Quality_Sensor_VOC_3,AIR_Quality_Sensor_CO2_4,AIR_Quality_Sensor_Dew_point_4,AIR_Quality_Sensor_Humidity_4,AIR_Quality_Sensor_Temperature_4,AIR_Quality_Sensor_VOC_4,AIR_Quality_Sensor_CO2_5,AIR_Quality_Sensor_Dew_point_5,AIR_Quality_Sensor_Humidity_5,AIR_Quality_Sensor_Temperature_5,AIR_Quality_Sensor_VOC_5
2021-09-10,23:03:36,16.86,16.59,16.86,16.59,15.96,15.78,76,76,83,30,30,37,4.1,0.0,0.10333333333333333,0.0,0.0,0.0,0.0,23.8,64,0,0,OFF,OFF,OFF,0,16,100,0,0,OFF,OFF,29.4,29.5,18.26,29.4,19.69,9.0,6.0,77.29,38.0,65.49,17,71,22.5,19,2,1,OFF,OFF,100,100,6.358,1.268,1,0,OFF,OFF,0.922,4.372,0,0,OFF,OFF,0,0,100,100,0,0.156,72,489,13.9,67,20.4,0,23.5,52,0.183,13.2,414,95.8,13.1,66.78443,398796,59,21,21.4,1,0,0.492,77,24.07,32.39,26.99,95.8,12,2.57739,9,49,0,23.5,0,0,0,0,0,0,0,0,0,95.8,11.5,10.98188,6728,54,21,21.1,0,406,13.5,65,20.1,0.145,456,13.5,66,19.8,0.217,452,13.3,58,21.9,0.144
2021-09-10,23:04:06,16.86,16.59,16.86,16.59,15.96,15.78,76,76,83,30,30,37,4.1,0.0,0.10333333333333333,0.0,0.0,0.0,0.0,23.8,64,0,0,OFF,OFF,OFF,0,16,100,0,0,OFF,OFF,29.4,29.5,18.26,29.4,19.69,9.0,6.0,77.29,38.0,65.49,17,71,22,19,2,1,OFF,OFF,100,100,6.358,1.268,1,0,OFF,OFF,0.922,4.372,0,0,OFF,OFF,0,0,100,100,0,0.156,72,489,13.9,67,20.4,0,23.5,52,0.183,13.2,414,95.8,13.1,66.78443,398796,59,21,21.4,1,0,0.492,77,24.07,32.39,26.99,95.8,12,2.57739,9,49,0,23.5,0,0,0,0,0,0,0,0,0,95.8,11.5,10.98188,6728,54,21,21.1,0,406,13.5,65,20.1,0.145,456,13.5,66,19.8,0.217,452,13.3,58,21.9,0.144
2021-09-10,23:04:37,16.86,16.59,16.86,16.59,15.96,15.78,76,76,83,30,30,37,4.1,0.0,0.10333333333333333,0.0,0.0,0.0,0.0,23.8,64,0,0,OFF,OFF,OFF,0,16,100,0,0,OFF,OFF,29.4,29.5,18.26,29.4,19.69,9.0,6.0,77.29,38.0,65.49,17,71,22,19,2,1,OFF,OFF,100,100,6.358,1.268,1,0,OFF,OFF,0.922,4.372,0,0,OFF,OFF,0,0,100,100,0,0.156,72,489,13.9,67,20.4,0,23.5,52,0.183,13.2,414,95.8,13.1,66.78443,398796,59,21,21.4,1,0,0.492,77,24.07,32.39,26.99,95.8,12,2.57739,9,49,0,23.5,0,0,0,0,0,0,0,0,0,95.8,11.5,10.98188,6728,54,21,21.1,0,406,13.5,65,20.1,0.145,456,13.5,66,19.8,0.217,452,13.3,58,21.9,0.144
2021-09-10,23:05:07,16.86,16.59,16.86,16.59,15.96,15.78,76,76,83,30,30,37,4.1,0.0,0.10333333333333333,0.0,0.0,0.0,0.0,23.8,64,0,0,OFF,OFF,OFF,0,16,100,0,0,OFF,OFF,29.4,29.5,18.26,29.4,19.69,9.0,6.0,77.29,38.0,65.49,17,71,22,19,2,1,OFF,OFF,100,100,6.358,1.268,1,0,OFF,OFF,0.922,4.372,0,0,OFF,OFF,0,0,100,100,0,0.156,72,489,13.9,67,20.4,0,23.5,52,0.183,13.2,414,95.8,13.1,66.78443,398796,59,21,21.4,1,0,0.492,77,24.07,32.39,26.99,95.8,12,2.57739,9,49,0,23.5,0,0,0,0,0,0,0,0,0,95.8,11.5,10.98188,6728,54,21,21.1,0,406,13.5,65,19.7,0.145,456,13.5,66,19.8,0.217,452,13.3,58,21.5,0.144
2021-09-10,23:05:37,16.86,16.59,16.86,16.59,15.96,15.78,76,76,83,30,30,37,4.1,0.0,0.10333333333333333,0.0,0.0,0.0,0.0,23.8,64,0,0,OFF,OFF,OFF,0,16,100,0,0,OFF,OFF,29.4,29.5,18.26,29.4,19.69,9.0,6.0,77.29,38.0,65.49,17,71,22,19,2,1,OFF,OFF,100,100,6.358,1.268,1,0,OFF,OFF,0.922,4.372,0,0,OFF,OFF,0,0,100,100,0,0.156,72,489,13.9,67,20.4,0,23.5,52,0.183,13.2,414,95.8,13.1,66.78443,398796,59,21,21.4,1,0,0.492,77,24.07,32.39,26.99,95.8,12,2.57739,9,49,0,23.5,0,0,0,0,0,0,0,0,0,95.8,11.5,10.98188,6728,54,21,21.1,0,406,13.5,65,19.7,0.145,456,13.5,66,19.8,0.217,452,13.3,58,21.5,0.144
2021-09-10,23:06:07,16.86,16.59,16.86,16.59,15.96,15.78,76,76,83,30,30,37,4.1,0.0,0.10333333333333333,0.0,0.0,0.0,0.0,23.8,64,0,0,OFF,OFF,OFF,0,16,100,0,0,OFF,OFF,29.4,29.5,17.6,29.4,19.69,9.0,6.0,82.34,38.0,65.49,17,71,22,19,2,1,OFF,OFF,100,100,6.358,1.268,1,0,OFF,OFF,0.922,4.372,0,0,OFF,OFF,0,0,100,100,0,0.156,72,489,13.9,67,20.4,0,23.5,52,0.183,13.2,414,95.8,13.1,66.78443,398796,59,21,21.4,1,0,0.492,77,24.07,32.39,26.99,95.8,12,2.57739,9,49,0,23.5,0,0,0,0,0,0,0,0,0,95.8,11.5,10.98188,6728,54,21,21.1,0,406,13.5,65,19.7,0.145,456,13.5,66,19.8,0.217,452,13.3,59,21.5,0.144
2021-09-10,23:06:37,16.86,16.59,16.86,16.59,15.96,15.78,76,76,83,30,30,37,4.1,0.0,0.10333333333333333,0.0,0.0,0.0,0.0,23.8,64,0,0,OFF,OFF,OFF,0,16,100,0,0,OFF,OFF,29.4,29.5,17.6,29.4,19.69,9.0,6.0,82.34,38.0,65.49,17,71,22,19,2,1,OFF,OFF,100,100,6.358,1.268,1,0,OFF,OFF,0.922,4.372,0,0,OFF,OFF,0,0,100,100,0,0.156,72,489,13.9,67,20.4,0,23.5,52,0.183,13.2,414,95.8,13.1,66.78443,398796,59,21,21.4,1,0,0.492,77,24.07,32.39,26.99,95.8,12,2.57739,9,49,0,23.5,0,0,0,0,0,0,0,0,0,95.8,11.5,10.98188,6728,54,21,21.1,0,406,13.5,65,19.7,0.145,456,13.5,66,19.8,0.217,452,13.3,59,21.5,0.144
2021-09-10,23:07:19,16.86,16.59,16.86,16.59,15.96,15.78,76,76,83,30,30,37,4.1,0.0,0.10333333333333333,0.0,0.0,0.0,0.0,23.8,64,0,0,OFF,OFF,OFF,0,16,100,0,0,OFF,OFF,29.4,29.5,17.6,29.4,19.69,9.0,6.0,82.34,38.0,65.49,17,71,22,19,2,1,OFF,OFF,100,100,6.358,1.268,1,0,OFF,OFF,0.922,4.372,0,0,OFF,OFF,0,0,100,100,0,0.156,72,489,13.9,67,20.4,0,23.5,52,0.183,13.2,414,95.8,13.1,66.78443,398796,59,21,21.4,1,0,0.492,77,24.07,32.39,26.99,95.8,12,2.57739,9,49,0,23.5,0,0,0,0,0,0,0,0,0,95.8,11.5,10.98188,6728,54,21,21.1,0,406,13.5,65,19.7,0.145,456,13.5,66,19.8,0.217,452,13.3,59,21.5,0.144
2021-09-10,23:07:49,16.86,16.59,16.86,16.59,15.96,15.78,76,76,83,30,30,37,4.1,0.0,0.10333333333333333,0.0,0.0,0.0,0.0,23.8,64,0,0,OFF,OFF,OFF,0,16,100,0,0,OFF,OFF,29.4,29.5,17.6,29.4,19.69,9.0,6.0,82.34,38.0,65.49,17,71,22,19,2,1,OFF,OFF,100,100,6.358,1.268,1,0,OFF,OFF,0.922,4.372,0,0,OFF,OFF,0,0,100,100,0,0.156,72,489,13.9,67,20.4,0,23.5,52,0.183,13.2,414,95.8,13.1,66.78443,398796,59,21,21.4,1,0,0.492,77,24.07,32.39,26.99,95.8,12,2.57739,9,49,0,23.5,0,0,0,0,0,0,0,0,0,95.8,11.5,10.98188,6728,54,21,21.1,0,406,13.5,65,19.7,0.145,456,13.5,66,19.8,0.217,452,13.3,59,21.5,0.144
2021-09-10,23:08:20,16.86,16.59,16.86,16.59,15.96,15.78,76,76,83,30,30,37,4.1,0.0,0.10333333333333333,0.0,0.0,0.0,0.0,23.8,64,0,0,OFF,OFF,OFF,0,16,100,0,0,OFF,OFF,29.4,29.5,17.6,29.4,19.69,9.0,6.0,82.34,38.0,65.49,17,71,22,19,2,1,OFF,OFF,100,100,6.358,1.268,1,0,OFF,OFF,0.922,4.372,0,0,OFF,OFF,0,0,100,100,0,0.156,72,489,13.9,67,19.9,0,23.5,52,0.183,13.2,414,95.8,13.1,66.78443,398796,59,21,21.4,1,0,0.492,77,24.07,32.39,26.99,95.8,12,2.57739,9,49,0,23.5,0,0,0,0,0,0,0,0,0,95.8,11.5,10.98188,6728,54,21,21.1,0,406,13.5,68,19.7,0.145,456,13.5,66,19.8,0.217,452,13.3,59,21.5,0.144
2021-09-10,23:08:50,16.86,16.59,16.86,16.59,15.96,15.78,76,76,83,30,30,37,4.1,0.0,0.10333333333333333,0.0,0.0,0.0,0.0,23.8,64,0,0,OFF,OFF,OFF,0,16,100,0,0,OFF,OFF,29.4,29.5,17.6,29.4,19.69,9.0,6.0,82.34,38.0,65.49,17,71,22,19,2,1,OFF,OFF,100,100,6.358,1.268,1,0,OFF,OFF,0.922,4.372,0,0,OFF,OFF,0,0,100,100,0,0.156,72,489,13.9,67,19.9,0,23.1,52,0.183,13.2,414,95.8,13.1,66.78443,398796,59,21,21.4,1,0,0.492,77,24.07,32.39,26.99,95.8,12,2.57739,9,49,0,23.5,0,0,0,0,0,0,0,0,0,95.8,11.5,10.98188,6728,54,21,21.1,0,406,13.5,68,19.7,0.145,456,13.5,66,19.8,0.217,452,13.3,59,21.5,0.144
2021-09-10,23:09:20,16.86,16.59,16.86,16.59,15.96,15.78,76,76,83,30,30,37,4.1,0.0,0.10333333333333333,0.0,0.0,0.0,0.0,23.8,64,0,0,OFF,OFF,OFF,0,15.9,100,0,0,OFF,OFF,29.4,29.5,17.6,29.4,19.69,9.0,6.0,82.34,38.0,65.49,17,71,22,19,2,1,OFF,OFF,100,100,6.358,1.268,1,0,OFF,OFF,0.922,4.372,0,0,OFF,OFF,0,0,100,100,0,0.156,72,489,13.9,67,19.9,0,23.1,52,0.183,13.2,414,95.8,13.1,66.78443,398796,59,21,21.4,1,0,0.492,77,24.07,32.39,26.99,95.8,12,2.57739,9,49,0,23.5,0,0,0,0,0,0,0,0,0,95.8,11.5,10.98188,6728,54,21,21.1,0,406,13.5,68,19.7,0.145,456,13.5,69,19.8,0.217,452,13.3,59,21.5,0.144
2021-09-10,23:09:50,16.86,16.59,16.86,16.59,15.96,15.78,76,76,83,30,30,37,4.1,0.0,0.10333333333333333,0.0,0.0,0.0,0.0,23.8,64,0,0,OFF,OFF,OFF,0,16,100,0,0,OFF,OFF,29.4,29.5,17.6,29.4,19.69,9.0,6.0,82.34,38.0,65.49,17,71,22,19,2,1,OFF,OFF,100,100,6.358,1.268,1,0,OFF,OFF,0.922,4.372,0,0,OFF,OFF,0,0,100,100,0,0.156,72,489,13.9,67,19.9,0,23.1,52,0.183,13.2,414,95.8,13.1,66.78443,398796,59,21,21.4,1,0,0.492,77,24.07,32.39,26.99,95.8,12,2.57739,9,49,0,23.5,0,0,0,0,0,0,0,0,0,95.8,11.5,10.98188,6728,54,21,21.1,0,406,13.5,68,19.7,0.145,456,13.5,69,19.8,0.217,452,13.3,59,21.5,0.144
2021-09-10,23:10:20,16.86,16.59,16.86,16.59,15.96,15.78,76,76,83,30,30,37,4.1,0.0,0.10333333333333333,0.0,0.0,0.0,0.0,23.8,64,0,0,OFF,OFF,OFF,0,16,100,0,0,OFF,OFF,29.4,29.5,17.6,29.4,19.69,9.0,6.0,82.34,38.0,65.49,17,71,22,19,2,1,OFF,OFF,100,100,6.358,1.268,1,0,OFF,OFF,0.922,4.372,0,0,OFF,OFF,0,0,100,100,0,0.156,72,489,13.9,67,19.9,0,23.1,52,0.183,13.2,414,95.8,13.1,66.78443,398796,59,21,21.4,1,0,0.492,77,24.07,32.39,26.99,95.8,12,2.57739,9,49,0,23.5,0,0,0,0,0,0,0,0,0,95.8,11.5,10.98188,6728,54,21,21.1,0,406,13.5,68,19.7,0.145,456,13.5,69,19.8,0.217,452,13.3,59,21.5,0.144
2021-09-10,23:10:51,16.86,16.59,16.86,16.59,15.96,15.78,76,76,83,30,30,37,4.1,0.0,0.10333333333333333,0.0,0.0,0.0,0.0,23.8,64,0,0,OFF,OFF,OFF,0,16,100,0,0,OFF,OFF,29.4,29.5,17.6,29.4,19.69,9.0,6.0,82.34,38.0,65.49,17,71,22,19,2,1,OFF,OFF,100,100,6.358,1.268,1,0,OFF,OFF,0.922,4.372,0,0,OFF,OFF,0,0,100,100,0,0.156,72,489,13.9,67,19.9,0,23.1,52,0.183,13.2,414,95.8,13.1,66.78443,398796,59,21,21.4,1,0,0.492,77,24.07,32.39,26.99,95.8,12,2.57739,9,49,0,23.5,0,0,0,0,0,0,0,0,0,95.8,11.5,10.98188,6728,54,21,21.1,0,406,13.5,68,19.7,0.145,456,13.5,69,19.8,0.217,452,13.3,59,21.5,0.144
2021-09-10,23:11:21,16.86,16.59,16.86,16.59,15.96,15.78,76,76,83,30,30,37,4.1,0.0,0.10333333333333333,0.0,0.0,0.0,0.0,23.8,64,0,0,OFF,OFF,OFF,0,16,100,0,0,OFF,OFF,29.4,29.5,17.6,29.4,19.69,9.0,6.0,82.34,38.0,65.49,16,72,22,19,2,1,OFF,OFF,100,100,6.359,1.268,1,0,OFF,OFF,0.922,4.372,0,0,OFF,OFF,0,0,100,100,0,0.156,72,489,13.9,67,19.9,0,23.1,52,0.183,13.2,414,95.8,13.1,66.78443,398796,59,21,21.4,1,0,0.492,77,24.07,32.39,26.99,95.8,12,2.57739,9,49,0,23.5,0,0,0,0,0,0,0,0,0,95.8,11.5,10.98188,6728,54,21,21.1,0,406,13.5,68,19.7,0.145,456,13.5,69,19.8,0.217,452,13.3,59,21.5,0.144
2021-09-10,23:11:51,16.86,16.59,16.86,16.59,15.96,15.78,76,76,83,30,30,37,4.1,0.0,0.10333333333333333,0.0,0.0,0.0,0.0,23.8,64,0,0,OFF,OFF,OFF,0,16,100,0,0,OFF,OFF,29.4,29.5,17.6,29.4,19.69,9.0,6.0,82.34,38.0,65.49,16,72,22,19,2,1,OFF,OFF,100,100,6.359,1.268,1,0,OFF,OFF,0.922,4.372,0,0,OFF,OFF,0,0,100,100,0,0.156,72,489,13.9,67,19.9,0,23.1,52,0.183,13.2,414,95.8,13.1,66.78443,398796,59,21,21.4,1,0,0.492,77,24.07,32.39,26.99,95.8,12,2.57739,9,49,0,23.5,0,0,0,0,0,0,0,0,0,95.8,11.5,10.98188,6728,54,21,21.1,0,406,13.5,68,19.7,0.145,456,13.5,69,19.8,0.217,452,13.3,59,21.5,0.144
2021-09-10,23:12:21,16.86,16.59,16.86,16.59,15.96,15.78,76,76,83,30,30,37,4.1,0.0,0.10333333333333333,0.0,0.0,0.0,0.0,23.8,64,0,0,OFF,OFF,OFF,0,16,100,0,0,OFF,OFF,29.4,29.5,17.6,29.4,19.69,9.0,6.0,82.34,38.0,65.49,16,72,22,19,2,1,OFF,OFF,100,100,6.359,1.268,1,0,OFF,OFF,0.922,4.372,0,0,OFF,OFF,0,0,100,100,0,0.156,72,489,13.9,67,19.9,0,23.1,52,0.183,13.2,414,95.8,13.1,66.78443,398796,59,21,21.4,1,0,0.492,77,24.07,32.39,26.99,95.8,12,2.57739,9,49,0,23.5,0,0,0,0,0,0,0,0,0,95.8,11.5,10.98188,6728,54,21,21.1,0,406,13.5,68,19.7,0.145,456,13.5,69,19.8,0.217,452,13.3,59,21.5,0.144
2021-09-10,23:12:51,16.86,16.59,16.86,16.59,15.96,15.78,76,76,83,30,30,37,4.1,0.0,0.10333333333333333,0.0,0.0,0.0,0.0,23.8,64,0,0,OFF,OFF,OFF,0,16,100,0,0,OFF,OFF,29.4,29.5,17.6,29.4,19.69,9.0,6.0,82.34,38.0,65.49,16,72,22,19,2,1,OFF,OFF,100,100,6.359,1.268,1,0,OFF,OFF,0.922,4.372,0,0,OFF,OFF,0,0,100,100,0,0.156,72,489,13.9,67,19.9,0,23.1,52,0.183,13.2,414,95.8,13.1,66.78443,398796,59,21,21.4,1,0,0.492,77,24.07,32.39,26.99,95.8,12,2.57739,9,49,0,23.5,0,0,0,0,0,0,0,0,0,95.8,11.5,10.98188,6728,54,21,21.1,0,406,13.5,68,19.7,0.145,456,13.5,69,19.8,0.217,452,13.3,59,21.5,0.144
2021-09-10,23:13:22,16.86,16.59,16.86,16.59,15.96,15.78,76,76,83,30,30,37,4.1,0.0,0.10333333333333333,0.0,0.0,0.0,0.0,23.8,64,0,0,OFF,OFF,OFF,0,15.9,100,0,0,OFF,OFF,29.4,29.5,17.6,29.4,19.69,9.0,6.0,82.34,38.0,70.16,16,72,22,19,2,1,OFF,OFF,100,100,6.359,1.268,1,0,OFF,OFF,0.922,4.372,0,0,OFF,OFF,0,0,100,100,0,0.156,72,489,13.9,67,19.9,0,23.1,52,0.183,13.2,414,95.8,13.1,66.78443,398796,59,21,21.4,1,0,0.492,77,24.07,32.39,26.99,95.8,12,2.57739,9,49,0,23.5,0,0,0,0,0,0,0,0,0,95.8,11.5,10.98188,6728,54,21,21.1,0,406,13.5,68,19.7,0.145,456,13.5,69,19.8,0.217,452,13.3,59,21.5,0.144
2021-09-10,23:13:52,16.86,16.59,16.86,16.59,15.96,15.78,76,76,83,30,30,37,4.1,0.0,0.10333333333333333,0.0,0.0,0.0,0.0,23.8,64,0,0,OFF,OFF,OFF,0,16,100,0,0,OFF,OFF,29.4,29.5,17.6,29.4,19.69,9.0,6.0,82.34,38.0,70.16,16,72,22,19,2,1,OFF,OFF,100,100,6.359,1.268,1,0,OFF,OFF,0.922,4.372,0,0,OFF,OFF,0,0,100,100,0,0.156,72,489,13.9,67,19.9,0,23.1,52,0.183,13.2,414,95.8,13.1,66.78443,398796,59,21,21.4,1,0,0.492,77,24.07,32.39,26.99,95.8,12,2.57739,9,49,0,23.5,0,0,0,0,0,0,0,0,0,95.8,11.5,10.98188,6728,54,21,21.1,0,406,13.5,68,19.7,0.145,456,13.5,69,19.8,0.217,452,13.3,59,21.5,0.144
2021-09-10,23:14:22,16.86,16.59,16.86,16.59,15.96,15.78,76,76,83,30,30,37,4.1,0.0,0.10333333333333333,0.0,0.0,0.0,0.0,23.8,64,0,0,OFF,OFF,OFF,0,16,100,0,0,OFF,OFF,29.4,29.5,17.6,29.4,19.69,9.0,6.0,82.34,38.0,70.16,16,72,22,19,2,1,OFF,OFF,100,100,6.359,1.268,1,0,OFF,OFF,0.922,4.372,0,0,OFF,OFF,0,0,100,100,0,0.156,72,489,13.9,67,19.9,0,23.1,52,0.183,13.2,414,95.8,13.1,66.78443,398796,59,21,21.4,1,0,0.492,77,24.07,32.39,26.99,95.8,12,2.57739,9,49,0,23.5,0,0,0,0,0,0,0,0,0,95.8,11.5,10.98188,6728,54,21,21.1,0,406,13.5,68,19.7,0.145,456,13.5,69,19.8,0.217,452,13.3,59,21.5,0.144
2021-09-10,23:14:52,16.86,16.59,16.86,16.59,15.96,15.78,76,76,83,30,30,37,4.1,0.0,0.10333333333333333,0.0,0.0,0.0,0.0,23.8,64,0,0,OFF,OFF,OFF,0,16,100,0,0,OFF,OFF,29.4,29.5,17.6,29.4,19.69,9.0,6.0,82.34,38.0,70.16,16,72,22,19,2,1,OFF,OFF,100,100,6.359,1.268,1,0,OFF,OFF,0.922,4.372,0,0,OFF,OFF,0,0,100,100,0,0.156,72,489,13.9,67,19.9,0,23.1,52,0.183,13.2,414,95.8,13.1,66.78443,398796,59,21,21.4,1,0,0.492,77,24.07,32.39,26.99,95.8,12,2.57739,9,49,0,23.5,0,0,0,0,0,0,0,0,0,95.8,11.5,10.98188,6728,54,21,21.1,0,406,13.5,68,19.7,0.145,456,13.5,69,19.8,0.217,452,13.3,59,21.5,0.144
2021-09-10,23:15:22,16.86,16.59,16.86,16.59,15.96,15.78,76,76,83,30,30,37,4.1,0.0,0.10333333333333333,0.0,0.0,0.0,0.0,23.8,64,0,0,OFF,OFF,OFF,0,15.9,100,0,0,OFF,OFF,29.4,29.5,17.6,29.4,19.69,9.0,6.0,82.34,38.0,70.16,16,72,22,18.5,2,1,OFF,OFF,100,100,6.359,1.268,1,0,OFF,OFF,0.922,4.372,0,0,OFF,OFF,0,0,100,100,0,0.156,72,489,13.9,67,19.9,0,23.1,52,0.183,13.2,414,95.8,13.1,66.78443,398796,59,21,21.4,1,0,0.492,77,24.07,32.39,26.99,95.8,12,2.57739,9,49,0,23.5,0,0,0,0,0,0,0,0,0,95.8,11.5,10.98188,6728,54,21,21.1,0,406,13.5,68,19.7,0.145,456,13.5,69,19.8,0.217,452,13.3,59,21.5,0.144
2021-09-10,23:15:53,16.86,16.59,16.86,16.59,15.96,15.78,76,76,83,30,30,37,4.1,0.0,0.10333333333333333,0.0,0.0,0.0,0.0,23.8,64,0,0,OFF,OFF,OFF,0,15.9,100,0,0,OFF,OFF,29.4,29.5,17.6,29.4,19.69,9.0,6.0,82.34,38.0,70.16,16,72,22,18.5,2,1,OFF,OFF,100,100,6.359,1.268,1,0,OFF,OFF,0.922,4.372,0,0,OFF,OFF,0,0,100,100,0,0.156,72,489,13.9,67,19.9,0,23.1,52,0.183,13.2,414,95.8,13.1,66.78443,398796,59,21,21.4,1,0,0.492,77,24.07,32.39,26.99,95.8,12,2.57739,9,49,0,23.5,0,0,0,0,0,0,0,0,0,95.8,11.5,10.98188,6728,54,21,21.1,0,406,13.5,68,19.7,0.145,456,13.5,69,19.8,0.217,452,13.3,59,21.5,0.144
2021-09-10,23:16:23,16.86,16.59,16.86,16.59,15.96,15.78,76,76,83,30,30,37,4.1,0.0,0.10333333333333333,0.0,0.0,0.0,0.0,23.8,64,0,0,OFF,OFF,OFF,0,15.9,100,0,0,OFF,OFF,29.4,29.5,17.6,29.4,19.69,9.0,6.0,82.34,38.0,70.16,16,72,22,18.5,2,1,OFF,OFF,100,100,6.359,1.268,1,0,OFF,OFF,0.922,4.372,0,0,OFF,OFF,0,0,100,100,0,0.156,72,489,13.9,67,20.4,0,23.1,52,0.183,13.2,414,95.8,13.1,66.78443,398796,59,21,21.4,1,0,0.492,77,24.07,32.39,26.99,95.8,12,2.57739,9,49,0,23.5,0,0,0,0,0,0,0,0,0,95.8,11.5,10.98188,6728,54,21,21.1,0,406,13.5,68,19.7,0.145,456,13.5,69,19.8,0.217,452,13.3,59,21.5,0.144
2021-09-10,23:16:53,16.86,16.59,16.86,16.59,15.96,15.78,76,76,83,30,30,37,4.1,0.0,0.10333333333333333,0.0,0.0,0.0,0.0,23.8,64,0,0,OFF,OFF,OFF,0,15.9,100,0,0,OFF,OFF,29.4,29.5,17.6,29.4,19.69,9.0,6.0,82.34,38.0,70.16,16,72,22,18.5,2,1,OFF,OFF,100,100,6.359,1.268,1,0,OFF,OFF,0.922,4.372,0,0,OFF,OFF,0,0,100,100,0,0.156,72,489,13.9,67,20.4,0,23.1,52,0.183,13.2,414,95.8,13.1,66.78443,398796,59,21,21.4,1,0,0.492,77,24.07,32.39,26.99,95.8,12,2.57739,9,49,0,23.5,0,0,0,0,0,0,0,0,0,95.8,11.5,10.98188,6728,54,21,21.1,0,406,13.5,68,19.7,0.145,456,13.5,69,19.8,0.217,452,13.3,59,21.5,0.144
