date,time,localCurrentTemperature (°C),localCurrentApparentTemperature (°C),LocalForecastedTemperature_3 (°C),LocalForecastedApparentTemperature_3 (°C),LocalForecastedTemperature_6 (°C),LocalForecastedApparentTemperature_6 (°C),localCurrentHumidity (%),LocalForecastedHumidity_3 (%),LocalForecastedHumidity_6 (%),LocalCurrent_Cloudiness (%),LocalForecastedCloudiness_3 (%),LocalForecastedCloudiness_6 (%),localCurrentUVIndex,LocalCurrent_Rain (mm),LocalForecastedRain_3 (mm),LocalForecastedRain_6 (mm),LocalCurrent_Snow (mm),LocalForecastedSnow_3 (mm),LocalForecastedSnow_6 (mm),SensorTemperature (°C),SensorRelativeHumidity (%),SensorUltraviolet,SensorLuminance (Lux),MotionAlarm,TamperAlarm,WallPlugSwitch1_Switch_1,WallPlugSwitch1_SensorPower_1 (W),Multisensor_outside_SensorTemperature (°C),Multisensor_outside_SensorRelativeHumidity (%),Multisensor_outside_SensorUltraviolet,Multisensor_outside_SensorLuminance(Lux),Multisensor_outside_TamperAlarm,Multisensor_outside_MotionAlarm,sensor1_temperature (°C),sensor2_temperature (°C),sensor3_temperature (°C),sensor4_temperature (°C),sensor5_temperature (°C),sensor1_humidity (%),sensor2_humidity (%),sensor3_humidity (%),sensor4_humidity (%),sensor5_humidity (%),Enocean_Temperature_1 (°C),Enocean_Humidity_1 (%),Brightness_sensor_temperature_1 (°C),Brightness_Sensor_Temperature_2 (°C),Brightness_Sensor_Ambient_Brightness_1,Brightness_Sensor_Ambient_Brightness_2,Brightness_Sensor_Motion_detection_1,Brightness_Sensor_Motion_detection_2,Brightness_Sensor_Battery_1 (%),Brightness_Sensor_Battery_2 (%),Socket_Energy_1(W h),Socket_Energy_2 (W h),Socket_Power_1 (W),Socket_Power_2 (W),Socket_Switch_1,Socket_Switch_2,Socket_Energy_3 (W h),Socket_Energy_4 (W h),Socket_Power_3 (W),Socket_Power_4 (W),Socket_Switch_3,Socket_Switch_4,Luminance_Sensor_Luminance_1 (Lux),Luminance_Sensor_Luminance_2 (Lux),Luminance_Sensor_Battery_1 (%),Luminance_Sensor_Battery_2 (%),Rain_Sensor_Precipitation_1 (mm),Rain_Sensor_Water_Meter_1 (m³),Rain_Sensor_Battery_1 (%),AIR_Quality_Sensor_CO2_2 (ppm),AIR_Quality_Sensor_Dew_point_2(°C),AIR_Quality_Sensor_Humidity_2 (%),AIR_Quality_Sensor_Temperature_2 (°C),AIR_Quality_Sensor_VOC_2 (ppm),AirQualitySensor_SensorTemperature (°C),AirQualitySensor_SensorRelativeHumidity (%),AirQualitySensor_SensorVOLATILE_ORGANIC_COMPOUND (ppm),AirQualitySensor_SensorDewPoint (°C) ,AirQualitySensor_SensorCO2 (ppm),Weather_Station_Air_Pressure_1 (mBar) ,Weather_Station_Dew_Point_1 (°C),Weather_Station_Electricity_meter_1 (W),Weather_Station_Heat_meter_1,Weather_Station_Humidity_1 (%),Weather_Station_Luminance_1 (Lux),Weather_Station_Temperature_1 (°C),Weather_Station_Wind_Speed_1 (m/s),Rain_Sensor_Precipitation_2 (mm),Rain_Sensor_Water_Meter_2 (m³),Rain_Sensor_Battery_2 (%),Temperature_25 (°C),Temperature_26 (°C),Temperature_27 (°C),Weather_Station_Air_Pressure_2 (mBar),Weather_Station_Dew_Point_2 (°C),Weather_Station_Electricity_meter_2 (W),Weather_Station_Heat_meter_2,Weather_Station_Humidity_2 (%),Weather_Station_Luminance_2 (Lux),Weather_Station_Temperature_2 (°C),Weather_Station_Wind_Speed_2 (m/s),wind_sensor_power (W),wind_sensor_energy (W h),Window_opening_power (W),Window_opening_energy (W h),Slats_angle_power (W),Slats_angle_energy (W h),Window_blinds_power (W),Window_blinds_energy (W h),Weather_Station_Air_Pressure_3 (mBar),Weather_Station_Dew_Point_3 (°C),Weather_Station_Electricity_meter_3 (W),Weather_Station_Heat_meter_3,Weather_Station_Humidity_3 (%),Weather_Station_Luminance_3 (Lux),Weather_Station_Temperature_3 (°C),Weather_Station_Wind_Speed_3 (m/s),AIR_Quality_Sensor_CO2_3 (ppm),AIR_Quality_Sensor_Dew_point_3 (°C),AIR_Quality_Sensor_Humidity_3 (%),AIR_Quality_Sensor_Temperature_3 (°C),AIR_Quality_Sensor_VOC_3 (ppm),AIR_Quality_Sensor_CO2_4 (ppm),AIR_Quality_Sensor_Dew_point_4 (°C),AIR_Quality_Sensor_Humidity_4 (%),AIR_Quality_Sensor_Temperature_4 (°C),AIR_Quality_Sensor_VOC_4 (ppm),AIR_Quality_Sensor_CO2_5 (ppm),AIR_Quality_Sensor_Dew_point_5 (°C),AIR_Quality_Sensor_Humidity_5 (%),AIR_Quality_Sensor_Temperature_5 (°C),AIR_Quality_Sensor_VOC_5 (ppm), Temperature_back_PVSys_8 (°C),Temperature_inside_PVSys_9 (°C),Temperature_outside_PVSys_10 (°C),RSSI = 7: Air Flow Sensor Outside,RSSI = 8: Air Flow Sensor Inside,RSSI = 9: Air Flow Sensor Solar,RSSI = 3: Temperature_sensor_outside (°C), RSSI = 4: Temperature_sensor_inside (°C),RSSI = 5: Temperature_sensor_solar (°C),Window_opening_angle (°),Window_blinds (%),Slats_angle (°),Ventilation_Flap_switch,Switch_3_AND_4, Solar_irradiation_17 (W/m2), Solar_irradiation_18 (W/m2),Socket_Switch_51,Socket_power_51 (W),Socket_Energy_51 (kWh), temperature_inside_50 (°C), temperature_outside_50(°C), humidity_inside_50 (%), humidity_outside_50 (%), Supply_air_flow_50(m3/h), exhaust_air_flow_50 (m3/h), Lunos_Ventilation_Mode, Lunos_Ventilation_Heat_Recovery_mode, Control_Algorithm
2021-12-03,00:05:15,-0.71,-0.71,-0.87,-3.7,-3.12,-3.12,92,94,97,75,80,82,0.48,0.0,0.0,0.0,0.33,0.45,0.12666666666666668,23.8,31,0,0,OFF,OFF,ON,0,-0.5,82,0,0,OFF,OFF,29.4,29.5,-0.97,29.4,1.32,9.0,6.0,100,38.0,86.94,-0.8,92.400002,19.5,0,8,1,OFF,OFF,100,100,9.066,156.61,0,643,OFF,ON,8.683,4.962,0,0,OFF,OFF,0.0,55,15.0,100,260.1,0.18,66.0,436,-1.1,85,1,0.174,22.3,26,0,2.2,410,94.5,-1.9,0.25404,3064,91,0,-0.7,4,0,0.658,58,18.55,28.46,22.54,96.6,5,0.11546,0,32,0,22.4,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,94.2,-2.3,0.35804,1676,89,21,-0.9,3,448,-1.1,86,0.9,0.155,467,-0.6,71,3.8,0.015,433,-0.6,74,3.5,0.015,-0.7,17.3,0.6,0,0.2,0.1,0.70,0.70,2.50,0,58,47,OFF,OFF,0.0,0.43,ON,14,8.209,23,0,31,100,15,,0,2.0,0, RBC_V1
2021-12-03,00:05:44,-0.71,-0.71,-0.87,-3.7,-3.12,-3.12,92,94,97,75,80,82,0.48,0.0,0.0,0.0,0.33,0.45,0.12666666666666668,23.7,31,0,0,OFF,OFF,ON,0,-0.5,82,0,0,OFF,OFF,29.4,29.5,-0.97,29.4,1.32,9.0,6.0,100,38.0,86.94,-0.8,92.400002,19.5,0,8,1,OFF,OFF,100,100,9.066,156.615,0,643,OFF,ON,8.683,4.962,0,0,OFF,OFF,0.0,55,15.0,100,260.1,0.18,66.0,436,-1.1,85,1,0.174,22.4,26,0,2.2,410,94.5,-1.9,0.25404,3064,91,0,-0.7,4,0,0.658,58,18.55,28.46,22.54,96.6,5,0.11546,0,32,0,22.4,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,94.2,-2.3,0.35804,1676,89,21,-0.9,3,448,-1.1,86,0.9,0.155,467,-0.6,71,3.8,0.015,433,-0.6,74,3.5,0.015,-0.7,17.3,0.6,0,0.2,0.1,0.70,0.70,2.50,0,58,47,OFF,OFF,0.0,0.43,ON,14,8.209,23,0,30,100,15,,0,2.0,0, RBC_V1
2021-12-03,00:06:13,-0.71,-0.71,-0.87,-3.7,-3.12,-3.12,92,94,97,75,80,82,0.48,0.0,0.0,0.0,0.33,0.45,0.12666666666666668,23.7,31,0,0,OFF,OFF,ON,0,-0.5,82,0,0,OFF,OFF,29.4,29.5,-0.97,29.4,1.32,9.0,6.0,100,38.0,86.94,-0.8,92.400002,19.5,0,8,1,OFF,OFF,100,100,9.066,156.62,0,646,OFF,ON,8.683,4.962,0,0,OFF,OFF,0.0,55,15.0,100,260.1,0.18,66.0,436,-1.1,85,1,0.174,22.4,26,0,2.2,410,94.5,-1.9,0.25404,3064,91,0,-0.7,4,0,0.658,58,18.55,28.46,22.54,96.6,5,0.11546,0,32,0,22.4,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,94.2,-2.3,0.35804,1676,89,21,-0.9,3,448,-1.1,86,0.9,0.155,467,-0.6,71,3.8,0.015,433,-0.6,74,3.5,0.015,-0.7,17.3,0.6,0,0.2,0.1,0.70,0.70,2.50,0,58,47,OFF,OFF,0.0,0.43,ON,14,8.209,23,0,30,100,15,,0,2.0,0, RBC_V1
2021-12-03,00:06:43,-0.71,-0.71,-0.87,-3.7,-3.12,-3.12,92,94,97,75,80,82,0.48,0.0,0.0,0.0,0.33,0.45,0.12666666666666668,23.8,31,0,0,OFF,OFF,ON,0,-0.5,82,0,0,OFF,OFF,29.4,29.5,-0.97,29.4,1.32,9.0,6.0,100,38.0,86.94,-0.8,92.400002,19.5,0,8,1,OFF,OFF,100,100,9.066,156.626,0,646,OFF,ON,8.683,4.962,0,0,OFF,OFF,0.0,55,15.0,100,260.1,0.18,66.0,436,-1.1,85,1,0.174,22.4,26,0,2.2,410,94.5,-1.9,0.25404,3064,91,0,-0.7,4,0,0.658,58,18.55,28.46,22.54,96.6,5,0.11546,0,32,0,22.4,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,94.2,-2.3,0.35804,1676,89,21,-0.9,3,448,-1.1,86,0.9,0.155,467,-0.6,71,3.8,0.015,433,-0.6,74,3.5,0.015,-0.7,17.3,0.6,0,0.2,0.1,0.70,0.70,2.50,0,58,47,OFF,OFF,0.0,0.43,ON,14,8.209,23,0,30,100,15,,0,2.0,0, RBC_V1
2021-12-03,00:07:12,-0.71,-0.71,-0.87,-3.7,-3.12,-3.12,92,94,97,75,80,82,0.48,0.0,0.0,0.0,0.33,0.45,0.12666666666666668,23.8,31,0,0,OFF,OFF,ON,0,-0.5,82,0,0,OFF,OFF,29.4,29.5,-0.97,29.4,1.32,9.0,6.0,100,38.0,86.94,-0.8,92.400002,19.5,0,8,1,OFF,OFF,100,100,9.066,156.629,0,646,OFF,ON,8.683,4.962,0,0,OFF,OFF,0.0,55,15.0,100,260.1,0.18,66.0,436,-1.1,85,1,0.174,22.4,26,0,2.2,410,94.5,-1.9,0.25404,3064,91,0,-0.7,4,0,0.658,58,18.55,28.46,22.54,96.6,5,0.11546,0,32,0,22.4,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,94.2,-2.3,0.35804,1676,89,21,-0.9,3,448,-1.1,86,0.9,0.155,467,-0.6,71,3.8,0.015,433,-0.6,74,3.5,0.015,-0.7,17.3,0.6,0,0.2,0.1,0.70,0.70,2.50,0,58,47,OFF,OFF,0.0,0.43,ON,14,8.209,23,0,30,100,15,,0,2.0,0, RBC_V1
2021-12-03,00:07:41,-0.71,-0.71,-0.87,-3.7,-3.12,-3.12,92,94,97,75,80,82,0.48,0.0,0.0,0.0,0.33,0.45,0.12666666666666668,23.8,31,0,0,OFF,OFF,ON,0,-0.5,82,0,0,OFF,OFF,29.4,29.5,-0.97,29.4,1.32,9.0,6.0,100,38.0,86.94,-0.8,92.400002,19.5,0,8,1,OFF,OFF,100,100,9.066,156.635,0,646,OFF,ON,8.683,4.962,0,0,OFF,OFF,0.0,55,15.0,100,260.1,0.18,66.0,436,-1.1,85,1,0.174,22.4,26,0,2.2,410,94.5,-1.9,0.25404,3064,91,0,-0.7,4,0,0.658,58,18.55,28.46,22.54,96.6,5,0.11546,0,32,0,22.4,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,94.2,-2.3,0.35804,1676,89,21,-0.9,3,448,-1.1,86,0.9,0.155,467,-0.6,71,3.8,0.015,433,-0.6,74,3.5,0.015,-0.7,17.3,0.6,0,0.2,0.1,0.70,0.70,2.50,0,58,47,OFF,OFF,0.0,0.43,ON,14,8.209,24,-1,29,100,15,,0,2.0,0, RBC_V1
2021-12-03,00:08:10,-0.71,-0.71,-0.87,-3.7,-3.12,-3.12,92,94,97,75,80,82,0.48,0.0,0.0,0.0,0.33,0.45,0.12666666666666668,23.8,31,0,0,OFF,OFF,ON,0,-0.5,82,0,0,OFF,OFF,29.4,29.5,-0.97,29.4,1.32,9.0,6.0,100,38.0,86.94,-0.8,92.400002,19.5,0,8,1,OFF,OFF,100,100,9.066,156.64,0,641,OFF,ON,8.683,4.962,0,0,OFF,OFF,0.0,55,15.0,100,260.1,0.18,66.0,436,-1.1,85,1,0.174,22.4,26,0,2.2,410,94.5,-1.9,0.25404,3064,91,0,-0.7,4,0,0.658,58,18.55,28.46,22.54,96.6,5,0.11546,0,32,0,22.4,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,94.2,-2.3,0.35804,1676,89,21,-0.9,3,448,-1.1,86,0.9,0.155,467,-0.6,71,3.8,0.015,433,-0.6,74,3.5,0.015,-0.7,17.3,0.6,0,0.2,0.1,0.70,0.70,2.50,0,58,47,OFF,OFF,0.0,0.43,ON,14,8.209,24,-1,29,100,15,,0,2.0,0, RBC_V1
2021-12-03,00:08:39,-0.71,-0.71,-0.87,-3.7,-3.12,-3.12,92,94,97,75,80,82,0.48,0.0,0.0,0.0,0.33,0.45,0.12666666666666668,23.8,31,0,0,OFF,OFF,ON,0,-0.5,82,0,0,OFF,OFF,29.4,29.5,-0.97,29.4,1.32,9.0,6.0,100,38.0,86.94,-0.8,92.400002,19.5,0,8,1,OFF,OFF,100,100,9.066,156.646,0,658,OFF,ON,8.683,4.962,0,0,OFF,OFF,0.0,55,15.0,100,260.1,0.18,66.0,436,-1.1,85,1.1,0.174,22.5,26,0,2.2,410,94.5,-1.9,0.25404,3064,91,0,-0.7,4,0,0.658,58,18.55,28.46,22.54,96.6,5,0.11546,0,32,0,22.4,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,94.2,-2.3,0.35804,1676,89,21,-0.9,3,448,-1.1,86,0.9,0.155,467,-0.6,71,3.8,0.015,433,-0.6,74,3.5,0.015,-0.7,17.3,0.6,0,0.2,0.1,0.70,0.70,2.50,0,58,47,OFF,OFF,0.0,0.43,ON,14,8.209,24,-1,29,100,15,,0,2.0,0, RBC_V1
2021-12-03,00:09:09,-0.71,-0.71,-0.87,-3.7,-3.12,-3.12,92,94,97,75,80,82,0.48,0.0,0.0,0.0,0.33,0.45,0.12666666666666668,23.8,31,0,0,OFF,OFF,ON,0,-0.6,82,0,0,OFF,OFF,29.4,29.5,-0.97,29.4,1.32,9.0,6.0,100,38.0,86.94,-0.8,92.400002,19.5,0,8,1,OFF,OFF,100,100,9.066,156.651,0,658,OFF,ON,8.683,4.962,0,0,OFF,OFF,0.0,55,15.0,100,260.1,0.18,66.0,436,-1.1,85,1.1,0.174,22.5,26,0,2.2,410,94.5,-1.9,0.25404,3064,91,0,-0.7,4,0,0.658,58,18.55,28.46,22.54,96.6,5,0.11546,0,32,0,22.4,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,94.2,-2.3,0.35804,1676,89,21,-0.9,3,448,-1.1,86,0.9,0.155,467,-0.6,71,3.8,0.015,433,-0.6,74,3.5,0.015,-0.7,17.3,0.6,0,0.2,0.1,0.70,0.70,2.50,0,58,47,OFF,OFF,0.0,0.43,ON,14,8.21,24,-1,29,100,15,,0,2.0,0, RBC_V1
2021-12-03,00:09:38,-0.71,-0.71,-0.87,-3.7,-3.12,-3.12,92,94,97,75,80,82,0.48,0.0,0.0,0.0,0.33,0.45,0.12666666666666668,23.8,31,0,0,OFF,OFF,ON,0,-0.6,82,0,0,OFF,OFF,29.4,29.5,-0.97,29.4,1.32,9.0,6.0,100,38.0,86.94,-0.8,92.400002,19.5,0,8,1,OFF,OFF,100,100,9.066,156.656,0,658,OFF,ON,8.683,4.962,0,0,OFF,OFF,0.0,55,15.0,100,260.1,0.18,66.0,436,-1.1,85,1.2,0.174,22.6,26,0,2.2,410,94.5,-1.9,0.25404,3064,91,0,-0.7,4,0,0.658,58,18.55,28.46,22.54,96.6,5,0.11546,0,32,0,22.4,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,94.2,-2.3,0.35804,1676,89,21,-0.9,3,448,-1.1,86,0.9,0.155,467,-0.6,71,3.8,0.015,433,-0.6,74,3.5,0.015,-0.7,17.3,0.6,0,0.2,0.1,0.70,0.70,2.50,0,58,47,OFF,OFF,0.0,0.43,ON,14,8.21,24,-1,29,100,15,,0,2.0,0, RBC_V1
2021-12-03,00:10:07,-0.71,-0.71,-0.87,-3.7,-3.12,-3.12,92,94,97,75,80,82,0.48,0.0,0.0,0.0,0.33,0.45,0.12666666666666668,23.8,31,0,0,OFF,OFF,ON,0,-0.6,82,0,0,OFF,OFF,29.4,29.5,-0.97,29.4,1.32,9.0,6.0,100,38.0,86.94,-0.8,92.400002,19.5,0,8,1,OFF,OFF,100,100,9.066,156.662,0,658,OFF,ON,8.683,4.962,0,0,OFF,OFF,0.0,55,15.0,100,260.1,0.18,66.0,436,-1.1,85,1.2,0.174,22.6,26,0,2.2,410,94.5,-1.9,0.25404,3064,91,0,-0.7,4,0,0.658,58,18.55,28.46,22.54,96.6,5,0.11546,0,32,0,22.4,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,94.2,-2.3,0.35804,1676,89,21,-0.9,3,448,-1.1,86,0.9,0.155,467,-0.6,71,3.8,0.015,433,-0.6,74,3.5,0.015,-0.7,17.3,0.6,0,0.2,0.1,0.70,0.70,2.50,0,58,47,OFF,OFF,0.0,0.43,ON,15,8.21,24,-1,29,100,15,,0,2.0,0, RBC_V1
2021-12-03,00:10:36,-0.71,-0.71,-0.87,-3.7,-3.12,-3.12,92,94,97,75,80,82,0.48,0.0,0.0,0.0,0.33,0.45,0.12666666666666668,23.8,31,0,0,OFF,OFF,ON,0,-0.6,82,0,0,OFF,OFF,29.4,29.5,-0.97,29.4,1.32,9.0,6.0,100,38.0,86.94,-0.8,92.400002,19.5,0,8,1,OFF,OFF,100,100,9.066,156.667,0,664,OFF,ON,8.683,4.962,0,0,OFF,OFF,0.0,55,15.0,100,260.1,0.18,66.0,436,-1.1,85,1.3,0.174,22.6,26,0,2.2,410,94.5,-1.9,0.25404,3064,91,0,-0.7,4,0,0.658,58,18.55,28.46,22.54,96.6,5,0.11546,0,32,0,22.4,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,94.2,-2.3,0.35804,1676,89,21,-0.9,3,448,-1.1,86,0.9,0.155,467,-0.6,71,3.8,0.015,433,-0.6,74,3.5,0.015,-0.7,17.3,0.6,0,0.2,0.1,0.70,0.70,2.50,0,58,47,OFF,OFF,0.0,0.43,ON,15,8.21,24,-1,29,100,15,,0,2.0,0, RBC_V1
2021-12-03,00:11:06,-0.71,-0.71,-0.87,-3.7,-3.12,-3.12,92,94,97,75,80,82,0.48,0.0,0.0,0.0,0.33,0.45,0.12666666666666668,23.7,31,0,0,OFF,OFF,ON,0,-0.6,82,0,0,OFF,OFF,29.4,29.5,-0.97,29.4,1.32,9.0,6.0,100,38.0,86.94,-0.8,92.400002,19.5,0,8,1,OFF,OFF,100,100,9.066,156.673,0,664,OFF,ON,8.683,4.962,0,0,OFF,OFF,0.0,55,15.0,100,260.1,0.18,66.0,436,-1.1,85,1.3,0.174,22.6,26,0,2.2,410,94.5,-1.9,0.25404,3064,91,0,-0.7,4,0,0.658,58,18.55,28.46,22.54,96.6,5,0.11546,0,32,0,22.4,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,94.2,-2.3,0.35804,1676,89,21,-0.9,3,448,-1.1,86,0.9,0.155,467,-0.6,71,3.8,0.015,433,-0.6,74,3.5,0.015,-0.7,17.3,0.6,0,0.2,0.1,0.70,0.70,2.50,0,58,47,OFF,OFF,0.0,0.43,ON,15,8.21,24,0,29,100,15,,0,2.0,0, RBC_V1
2021-12-03,00:11:35,-0.9,-0.9,-0.9,-3.74,-2.04,-2.04,92,92,95,90,90,89,0.48,0.0,0.0,0.0,0.16,0.45,0.12666666666666668,23.7,31,0,0,OFF,OFF,ON,0,-0.6,82,0,0,OFF,OFF,29.4,29.5,-0.97,29.4,1.32,9.0,6.0,100,38.0,86.94,-0.8,92.400002,19.5,0,8,1,OFF,OFF,100,100,9.066,156.679,0,664,OFF,ON,8.683,4.962,0,0,OFF,OFF,0.0,55,15.0,100,260.1,0.18,66.0,436,-1.1,85,1.2,0.174,22.7,26,0,2.2,410,94.5,-1.9,0.25404,3064,91,0,-0.7,4,0,0.658,58,18.55,28.46,22.54,96.6,5,0.11546,0,32,0,22.4,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,94.2,-2.3,0.35804,1676,89,21,-0.9,3,448,-1.1,86,0.9,0.155,467,-0.6,71,3.8,0.015,433,-0.6,74,3.5,0.015,-0.7,17.3,0.6,0,0.2,0.1,0.70,0.70,2.50,0,58,47,OFF,OFF,0.0,0.43,ON,15,8.21,24,0,29,100,15,,0,2.0,0, RBC_V1
2021-12-03,00:12:04,-0.9,-0.9,-0.9,-3.74,-2.04,-2.04,92,92,95,90,90,89,0.48,0.0,0.0,0.0,0.16,0.45,0.12666666666666668,23.8,31,0,0,OFF,OFF,ON,0,-0.6,82,0,0,OFF,OFF,29.4,29.5,-0.97,29.4,1.32,9.0,6.0,100,38.0,86.94,-0.8,92.400002,19.5,0,8,1,OFF,OFF,100,100,9.066,156.684,0,664,OFF,ON,8.683,4.962,0,0,OFF,OFF,0.0,55,15.0,100,260.1,0.18,66.0,436,-1.1,85,1.2,0.174,22.7,26,0,2.2,410,94.5,-1.9,0.25404,3064,91,0,-0.7,4,0,0.658,58,18.55,28.46,22.54,96.6,5,0.11546,0,32,0,22.4,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,94.2,-2.3,0.35804,1676,89,21,-0.9,3,448,-1.1,86,0.9,0.155,467,-0.6,71,3.8,0.015,433,-0.6,74,3.5,0.015,-0.7,17.3,0.6,0,0.2,0.1,0.70,0.70,2.50,0,58,47,OFF,OFF,0.0,0.43,ON,15,8.21,24,0,29,100,15,,0,2.0,0, RBC_V1
2021-12-03,00:12:33,-0.9,-0.9,-0.9,-3.74,-2.04,-2.04,92,92,95,90,90,89,0.48,0.0,0.0,0.0,0.16,0.45,0.12666666666666668,23.8,31,0,0,OFF,OFF,ON,0,-0.6,82,0,0,OFF,OFF,29.4,29.5,-0.97,29.4,1.32,9.0,6.0,100,38.0,86.94,-0.8,92.400002,19.5,0,8,1,OFF,OFF,100,100,9.066,156.69,0,663,OFF,ON,8.683,4.962,0,0,OFF,OFF,0.0,55,15.0,100,260.1,0.18,66.0,436,-1.1,85,1.2,0.174,22.7,26,0,2.2,410,94.5,-1.9,0.25404,3064,91,0,-0.7,4,0,0.658,58,18.55,28.46,22.54,96.6,5,0.11546,0,32,0,22.4,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,94.2,-2.3,0.35804,1676,89,21,-0.9,3,448,-1.1,86,0.9,0.155,467,-0.6,71,3.8,0.015,433,-0.6,74,3.5,0.015,-0.7,17.3,0.6,0,0.2,0.1,0.70,0.70,2.50,0,58,47,OFF,OFF,0.0,0.43,ON,15,8.21,24,0,29,100,15,,0,2.0,0, RBC_V1
2021-12-03,00:13:03,-0.9,-0.9,-0.9,-3.74,-2.04,-2.04,92,92,95,90,90,89,0.48,0.0,0.0,0.0,0.16,0.45,0.12666666666666668,23.8,31,0,0,OFF,OFF,ON,0,-0.6,82,0,0,OFF,OFF,29.4,29.5,-0.97,29.4,1.32,9.0,6.0,100,38.0,86.94,-0.8,92.400002,19.5,0,8,1,OFF,OFF,100,100,9.066,156.695,0,663,OFF,ON,8.683,4.962,0,0,OFF,OFF,0.0,55,15.0,100,260.1,0.18,66.0,436,-1.1,85,1.2,0.174,22.7,26,0,2.2,410,94.5,-1.9,0.25404,3064,91,0,-0.7,4,0,0.658,58,18.55,28.46,22.54,96.6,5,0.11546,0,32,0,22.4,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,94.2,-2.3,0.35804,1676,89,21,-0.9,3,448,-1.1,86,0.9,0.155,467,-0.6,71,3.8,0.015,433,-0.6,74,3.5,0.015,-0.7,17.3,0.6,0,0.2,0.1,0.70,0.70,2.50,0,58,47,OFF,OFF,0.0,0.43,ON,15,8.21,24,0,29,100,15,,0,2.0,0, RBC_V1
2021-12-03,00:13:32,-0.9,-0.9,-0.9,-3.74,-2.04,-2.04,92,92,95,90,90,89,0.48,0.0,0.0,0.0,0.16,0.45,0.12666666666666668,23.8,31,0,0,OFF,OFF,ON,0,-0.6,82,0,0,OFF,OFF,29.4,29.5,-0.97,29.4,1.32,9.0,6.0,100,38.0,86.94,-0.8,92.400002,19.5,0,8,1,OFF,OFF,100,100,9.066,156.699,0,663,OFF,ON,8.683,4.962,0,0,OFF,OFF,0.0,55,15.0,100,260.1,0.18,66.0,436,-1.1,85,1.3,0.174,22.8,26,0,2.2,410,94.5,-1.9,0.25404,3064,91,0,-0.7,4,0,0.658,58,18.55,28.46,22.54,96.6,5,0.11546,0,32,0,22.4,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,94.2,-2.3,0.35804,1676,89,21,-0.9,3,448,-1.1,86,0.9,0.155,467,-0.6,71,3.8,0.015,433,-0.6,74,3.5,0.015,-0.7,17.3,0.6,0,0.2,0.1,0.70,0.70,2.50,0,58,47,OFF,OFF,0.0,0.43,ON,15,8.211,24,0,29,100,15,,0,2.0,0, RBC_V1
2021-12-03,00:14:01,-0.9,-0.9,-0.9,-3.74,-2.04,-2.04,92,92,95,90,90,89,0.48,0.0,0.0,0.0,0.16,0.45,0.12666666666666668,23.8,31,0,0,OFF,OFF,ON,0,-0.6,82,0,0,OFF,OFF,29.4,29.5,-0.97,29.4,1.32,9.0,6.0,100,38.0,86.94,-0.8,92.400002,19.5,0,8,1,OFF,OFF,100,100,9.066,156.704,0,0,OFF,ON,8.683,4.962,0,0,OFF,OFF,0.0,55,15.0,100,260.1,0.18,66.0,436,-1.1,85,1.3,0.174,22.8,26,0,2.2,410,94.5,-1.9,0.25404,3064,91,0,-0.7,4,0,0.658,58,18.55,28.46,22.54,96.6,5,0.11546,0,32,0,22.4,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,94.2,-2.3,0.35804,1676,89,21,-0.9,3,448,-1.1,86,0.9,0.155,467,-0.6,71,3.8,0.015,433,-0.6,74,3.5,0.015,-0.7,17.3,0.6,0,0.2,0.1,0.70,0.70,2.50,0,58,47,OFF,OFF,0.0,0.43,ON,16,8.211,24,0,29,100,15,,0,2.0,0, RBC_V1
